NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY,LAT,LON
Great Valley MS,Malvern TCE,0.25464308405915514,19355,PA,Malvern,42029,40.0591,-75.5646
PS/IS 384 FRANCES E CARTER,Wolff-Alport Chemical Company,0.2561924982402792,11207,NY,BROOKLYN,36047,40.6897,-73.9049
THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION,Continental Cleaners,0.2563962590458752,33150,FL,MIAMI,12086,25.835594,-80.209906
Clark Elementary School,Highway 3 PCE,0.2570606371466467,51031,IA,Le Mars,19149,42.795814,-96.169848
JESUS T. PINERO CIDRA,Cidra Ground Water Contamination,0.25747663641635454,739,PR,CIDRA,72041,18.173925,-66.15841
Jefferson Elementary,"N.W. Mauthe Co., Inc.",0.2578255133069876,54914,WI,Appleton,55087,44.2541,-88.4252
Stebbins High School,Valley Pike VOCs,0.258053280582182,45424,OH,Dayton,39113,39.7965,-84.1277
John A. Forrest Elementary School,Fair Lawn Well Field,0.259162603090238,7410,NJ,FAIR LAWN,34003,40.9341,-74.1299
HILLSBOROUGH GIRLS ACADEMY,Reeves Southeastern Galvanizing Corp.,0.26389465430239023,33619,FL,TAMPA,12057,27.968796,-82.34078
Donnelsville Elementary School,Donnelsville Contaminated Aquifer,0.26460893941363095,45319,OH,Donnelsville,39023,39.9195,-83.9439
METRO DEAF SCHOOL,Koppers Coke,0.265684276039798,55108,MN,SAINT PAUL,27123,44.972283,-93.147354
LUIS MUNOZ IGLESIAS,Cidra Ground Water Contamination,0.2668314859759898,739,PR,CIDRA,72041,18.178647,-66.1598
Utah Connections Academy,Wasatch Chemical Co. (Lot 6),0.26695847486884,84106,UT,SALT LAKE CITY,49035,40.726113,-111.87264
OMAHA HIGH SCHOOL,"Arkwood, Inc.",0.26707040832008433,72662,AR,OMAHA,5009,36.448833,-93.196179
OMAHA ELEMENTARY SCHOOL,"Arkwood, Inc.",0.26707040832008433,72662,AR,OMAHA,5009,36.448833,-93.196179
Mad River Middle School,Valley Pike VOCs,0.2679961739982652,45424,OH,Dayton,39113,39.793644,-84.130627
TAGOS Leadership Acad,Janesville Old Landfill,0.26889840444767643,53545,WI,Janesville,55105,42.702183,-89.028861
PEDRO NELSON COLBERG,Cabo Rojo Ground Water Contamination,0.2702163058221206,623,PR,CABO ROJO,72023,18.087107,-67.150159
Lincoln International High School,South Minneapolis Residential Soil Contamination,0.27072084656064804,55404,MN,MINNEAPOLIS,27053,44.956362,-93.240406
Sartori Elementary School,Pacific Car & Foundry Co.,0.27310151836849683,98057,WA,Renton,53033,47.487417,-122.201784
Neale Elementary School,Vienna Tetrachloroethene,0.273740462308717,26105,WV,Vienna,54107,39.32232,-81.552334
York Avenue El Sch,North Penn - Area 6,0.27378223318263833,19446,PA,Lansdale,42091,40.2444,-75.2958
CENTRAL ELEMENTARY SCHOOL,PCE - Carriage Cleaners,0.27393574097083523,68005,NE,BELLEVUE,31153,41.137917,-95.899369
Henry P. Becton Regional High School,Universal Oil Products (Chemical Division),0.27425191426810847,7073,NJ,EAST RUTHERFORD,34003,40.832209,-74.093259
TAMPA RESIDENTIAL FACILITY,Peak Oil Co./Bay Drum Co.,0.27463223153847244,33619,FL,TAMPA,12057,27.96682,-82.340877
GRANTS HIGH,Grants Chlorinated Solvents Plume,0.2759115920484088,87020,NM,GRANTS,35006,35.15914,-107.8465
N B Mills Elementary,"FCX, Inc. (Statesville Plant)",0.27918567385081106,28677,NC,Statesville,37097,35.7879,-80.9116
VIENNA ELEM.,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125,38.18571,-91.942883
VIENNA MIDDLE,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125,38.18571,-91.942883
VIENNA HIGH,Vienna Wells,0.2793063200087872,65582,MO,VIENNA,29125,38.18571,-91.942883
Park Avenue Elementary School,Orange Valley Regional Ground Water Contamination,0.27947000274136435,7050,NJ,ORANGE,34013,40.776,-74.2242
WILFREDO LAFUENTE ORTIZ,Maunabo Area Ground Water Contamination,0.2814348136324825,707,PR,MAUNABO,72095,18.009804,-65.90212
Henry (Patrick) Elementary,Orange County North Basin,0.2817438395478437,92801,CA,Anaheim,6059,33.8512,-117.9328
LANDING SCHOOL,Li Tungsten Corp.,0.28187408124254704,11542,NY,GLEN COVE,36059,40.863433,-73.645038
H. S. Chase School,Scovill Industrial Landfill,0.2833096027820082,6705,CT,Waterbury,9140,41.5528,-73.0062
Sierra Vista Elementary,"Brown & Bryant, Inc. (Arvin Plant)",0.2834816035966216,93203,CA,Arvin,6029,35.202579,-118.827018
Souderton CS Collaborative,North Penn - Area 1,0.28735125398665584,18964,PA,Souderton,42091,40.309652,-75.319928
John D. Bud Hawk Elementary at Jackson Park,Jackson Park Housing Complex (USNAVY),0.28794655114893564,98312,WA,BREMERTON,53035,47.5928,-122.6963
Fox River Academy,"N.W. Mauthe Co., Inc.",0.28889526096805457,54914,WI,Appleton,55087,44.254529,-88.424338
MTS HIGH SCHOOL,South Minneapolis Residential Soil Contamination,0.2899453604525506,55406,MN,MINNEAPOLIS,27053,44.950685,-93.237587
COLUMBUS RESIDENTIAL JUVENILE FACILITY,Peak Oil Co./Bay Drum Co.,0.2904324414798126,33619,FL,TAMPA,12057,27.966786,-82.341903
MESA VIEW ELEMENTARY,Grants Chlorinated Solvents Plume,0.29047463859337275,87020,NM,GRANTS,35006,35.152388,-107.840865
Minnesota Connections Academy 7-12,Koppers Coke,0.2919699046668678,55108,MN,SAINT PAUL,27123,44.969301,-93.157092
Minnesota Connections Academy K-6,Koppers Coke,0.2919699046668678,55108,MN,SAINT PAUL,27123,44.969301,-93.157092
ANTHONY ALFANO ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.2931843597518233,11722,NY,CENTRAL ISLIP,36103,40.7931,-73.2051
COBBLE HILL SCHOOL OF AMERICAN STUDIES,Gowanus Canal,0.293287962053834,11201,NY,BROOKLYN,36047,40.6849,-73.9909
Broadwater School,Billings PCE,0.29335679574733076,59102,MT,Billings,30111,45.777532,-108.52654
ISABEL FLORES,Juncos Landfill,0.2940292877161041,777,PR,JUNCOS,72077,18.227567,-65.909486
Gibbsboro Elementary School,United States Avenue Burn,0.2945671527422986,8026,NJ,GIBBSBORO,34007,39.837241,-74.967729
MCCULLOCH ELEMENTARY,"Solid State Circuits, Inc.",0.29499153364464414,65738,MO,REPUBLIC,29077,37.121801,-93.477747
ALFONSO CASTA MARTINEZ,Maunabo Area Ground Water Contamination,0.2958427120348343,707,PR,MAUNABO,72095,18.00709,-65.897337
NORCREST ELEMENTARY SCHOOL,Flash Cleaners,0.2959290849384689,33064,FL,POMPANO BEACH,12011,26.28031,-80.101043
HERMOSA HEIGHTS ELEMENTARY,Griggs & Walnut Ground Water Plume,0.2963966762388695,88001,NM,LAS CRUCES,35013,32.311508,-106.76165
Pontiac Elementary,Townsend Saw Chain Co.,0.2964106619917584,29045,SC,Elgin,45079,34.109643,-80.837329
Excel Academy Rhode Island,Centredale Manor Restoration Project,0.2975208824782249,2911,RI,North Providence,44007,41.854982,-71.482727
Lafayette Elementary School,Brook Industrial Park,0.2984926239280018,8805,NJ,Bound Brook,34035,40.564403,-74.536724
Abraham Lincoln School #6,Garfield Ground Water Contamination,0.2992264710770852,7026,NJ,GARFIELD,34003,40.8677,-74.1079
ANA J. CANDELAS,Cidra Ground Water Contamination,0.299726467116689,739,PR,CIDRA,72041,18.170758,-66.162232
Fairview Elementary School,Cliff Drive Groundwater Contamination,0.30129941660762793,46947,IN,Logansport,18017,40.74,-86.3764
Wenzel School,Sturgis Municipal Wells,0.30175414067788514,49091,MI,STURGIS,26149,41.7945,-85.4264
