NAME,Site_Name,distance_to_site_miles
ANA J. CANDELAS,Cidra Ground Water Contamination,0.299726467116689
Fairview Elementary School,Cliff Drive Groundwater Contamination,0.30129941660762793
Wenzel School,Sturgis Municipal Wells,0.30175414067788514
Friendship PCS - Chamberlain Middle,Washington Navy Yard,0.3044967360834271
Friendship PCS - Chamberlain Elementary,Washington Navy Yard,0.3044967360834271
Washington High School,Sporlan Valve Plant #1,0.30534633694176266
HENRY W. LONGFELLOW,San German Ground Water Contamination,0.30560476585811586
WEST SIDE ELEMENTARY SCHOOL,Picayune Wood Treating,0.3062189858766616
SALTZMAN EAST MEMORIAL ELEMENTARY SCHOOL,Preferred Plating Corp.,0.30775673847907575
Tweedy Elementary,Cooper Drum Company,0.3091159799529354
CASS LAKE-BENA AREA LRNG. CNTR.,St. Regis Paper Co.,0.30965728913989876
Garfield Elementary School,Riverside Industrial Park,0.31085941916738274
LANIER-JAMES EDUCATION CENTER,Petroleum Products Corp.,0.312975347083215
Patterson High,Kane & Lombard Street Drums,0.31389402254664184
ST. LOUIS PARK SPECIAL ED. PROGRAM,Highway 100 and County Road 3 Groundwater Plume,0.3161081023036545
Murray Adult Transition,Murray Smelter,0.3164903910818474
Crittenden Middle,Teledyne Semiconductor,0.31779702612109445
NASSAU CO JUVENILE DETENTION CENTER,New Cassel/Hicksville Ground Water Contamination,0.31870286851738233
Alamo Elementary,Alamo Contaminated Ground Water,0.3190367745266074
Meridian Impact Re-Engagement,Oeser Co,0.32184660280093397
Bonner School,Milltown Reservoir Sediments,0.32260821776916687
Bonner 6-8,Milltown Reservoir Sediments,0.32260821776916687
Casimer M. Dallago Jr. Impact Center,Former Kil-Tone Company,0.32308059719701404
MINEOLA HIGH SCHOOL,Fulton Avenue,0.3245918219279396
GRANT ELEMENTARY SCHOOL,Iowa-Nebraska Light & Power Co,0.3247622601390654
HENRYETTA ES,Henryetta Iron and Metal,0.3252164360064017
Heliotrope Avenue Elementary,Pemaco Maywood,0.3256676668386792
Gloria M Sabater Elementary School,Former Kil-Tone Company,0.3269566525160981
PS 38 PACIFIC (THE),Gowanus Canal,0.3286600647575064
JUVENILE JUSTICE ALTERNATIVE EDUCATION PROGRAM,United Creosoting Co.,0.33070536858220484
JUVENILE DETENTION CTR,United Creosoting Co.,0.33070536858220484
West Essex Middle School,Caldwell Trucking Co.,0.33112398644492314
PS 151 LYNDON B JOHNSON,Wolff-Alport Chemical Company,0.3321135941251572
Crooked Billet El Sch,Raymark,0.3337375154901231
ELEMENTAL URBANA DE VEGA ALTA,Vega Alta Public Supply Wells,0.3338500198790149
CORDELLO AVENUE ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.3363751372881536
Old Mill Elementary School,"Waldick Aerospace Devices, Inc.",0.33649564670341037
Boston Renaissance Charter Public School,Lower Neponset River,0.33655403764596276
San Miguel Elementary,"Advanced Micro Devices, Inc. (Building 915)",0.3366375462945282
NASSAU BOCES,Old Roosevelt Field Contaminated Ground Water Area,0.33701174311693755
Abraham Lincoln,Silresim Chemical Corp.,0.3371450084579274
TRANSITION PLUS SERVICES,South Minneapolis Residential Soil Contamination,0.33742547599553085
ARMWOOD HIGH SCHOOL,Taylor Road Landfill,0.33819386501383103
Juan Pablo Duarte - Jose Julian Marti School No 28,Chemical Control,0.33827969755911824
Hamburg Area HS,Price Battery,0.33854293836884725
LAKE ACADEMY SECURE,Reeves Southeastern Galvanizing Corp.,0.3399991330381025
LAKE ACADEMY,Reeves Southeastern Galvanizing Corp.,0.3399991330381025
HOSPITAL & HOMEBOUND,Agrico Chemical Co.,0.34006151949439883
COUNTY ADMINISTRATIVE ANNEX,Agrico Chemical Co.,0.34006151949439883
ESCAMBIA SCH. DIST. JAIL PROG.,Agrico Chemical Co.,0.34006151949439883
ESCAMBIA VIRTUAL INSTRUCTION PROGRAM,Agrico Chemical Co.,0.34006151949439883
ESCAMBIA VIRTUAL ACADEMY FRANCHISE,Agrico Chemical Co.,0.34006151949439883
TAP PK BABIES,Agrico Chemical Co.,0.34006151949439883
ESCAMBIA VIRTUAL INSTRUCTIONAL PROGRAM (DISTRICT PROVIDED),Agrico Chemical Co.,0.34006151949439883
Slidell Junior High School,Bayou Bonfouca,0.3411731242644523
MIAMI EDISON SENIOR HIGH SCHOOL,Continental Cleaners,0.3412652667795749
West Deptford High School,"Matteo & Sons, Inc.",0.3423183234225304
Cardinal O'Connell Early Learning Center,Silresim Chemical Corp.,0.34331599244997524
PS 110 MONITOR (THE),Meeker Avenue Plume,0.34374241035200603
MURRAY MIDDLE SCHOOL,Solitron Microwave,0.34380817906158767
Haven Drive Middle,"Brown & Bryant, Inc. (Arvin Plant)",0.3454834062499185
West Essex High School,Unimatic Manufacturing Corporation,0.3467660669314575
YES PREP - NORTHSIDE,North Cavalcade Street,0.34845084995431325
James Madison School #10,Garfield Ground Water Contamination,0.34880411499180686
Career Pathways,Koppers Coke,0.3489610085613067
Visual and Performing Arts at Legacy High School Complex,Southern Avenue Industrial Area,0.3492547074537339
Sci Tech Engr Arts and Math at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339
International Studies Lrng Center at Legacy High Sch Complex,Southern Avenue Industrial Area,0.3492547074537339
Greystone School,Centredale Manor Restoration Project,0.35109099927120796
SUPERIOR ILEANA DE GRACIA,Vega Alta Public Supply Wells,0.3512427016567083
Crittenden Middle,"CTS Printex, Inc.",0.35139732794994527
Hudson KEight School,35th Avenue,0.3519991763592476
SCHOFIELD ELEMENTARY,"Solid State Circuits, Inc.",0.3525719687305832
Jackson El Sch,Whitmoyer Laboratories,0.35273556724118305
Woodstock Elementary School,Linemaster Switch Corp.,0.35316546364667134
PRELUDE PREPARATORY CHARTER SCHOOL,R & H Oil Company,0.35359991003044683
SEVERO E. COLBERG RAMIREZ,Cabo Rojo Ground Water Contamination,0.3564948936743955
Clay Hill Public Charter School,Kane & Lombard Street Drums,0.3564957454212893
Joseph B. Lancaster Elementary School,Madisonville Creosote Works,0.3565861073420533
San Cayetano Elementary,Pacific Coast Pipe Lines,0.3571199173976313
Northeast College Prep Charter Scho,Southeast Hennepin Area Groundwater and Vapor,0.3579381809723123
Carter Lake Elementary School,American Lake Gardens/McChord AFB,0.3588631684217068
Lincoln Elementary School,Northernaire Plating,0.3608314611780488
Blaine Re-Engagement,Oeser Co,0.3610557156114563
Jose Antonio Vargas Elementary,Intel Corp. (Mountain View Plant),0.3611445817677895
Crooked Billet El Sch,Fischer & Porter Co.,0.36248986041817155
Frank Ward Strong School,Durham Meadows,0.362948114274745
Theuerkauf Elementary,"Spectra-Physics, Inc.",0.36319161210831846
New Century School,Koppers Coke,0.3633109093545294
LINCOLN ELEMENTARY SCHOOL,Iowa-Nebraska Light & Power Co,0.36450232725354886
NCS Online Program,Koppers Coke,0.36512003301478924
New Century School Secondary,Koppers Coke,0.36512003301478924
Western Heights Middle,Central Chemical (Hagerstown),0.3673229924788542
PS 133 WILLIAM A BUTLER,Gowanus Canal,0.3676266608165101
Ironton Sch,Heleva Landfill,0.3677604718769711
Denver Center for International Studies at Fairmon,Denver Radium Site,0.3679018945361926
Great Valley HS,Malvern TCE,0.368417765672866
LaMonte-Annex Elementary School,Brook Industrial Park,0.3685722128758072
West Essex Middle School,Unimatic Manufacturing Corporation,0.3700837025384254
PS 372 CHILDREN'S SCHOOL (THE),Gowanus Canal,0.3703640657121844
BUSHWICK ASCEND CHARTER SCHOOL,Wolff-Alport Chemical Company,0.3705922677602445
Dover High School,Reilly Tar & Chemical Corp. (Dover Plant),0.37257635009420015
Odyssey Charter,Jet Propulsion Laboratory (NASA),0.3731124111277453
